pm\mA;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1
28.5;3;2.72;2.44;2.17;1.89;1.61;1.33;1.06;0.78;0.5
29.5;3.1;2.84;2.58;2.32;2.06;1.79;1.53;1.27;1.01;0.75
30.5;3.45;3.12;2.79;2.47;2.14;1.81;1.48;1.16;0.83;0.5
31.4;3.8;3.46;3.12;2.78;2.44;2.11;1.77;1.43;1.09;0.75
32.4;3.6;3.27;2.94;2.62;2.29;1.96;1.63;1.31;0.98;0.65
33.4;3.15;2.87;2.58;2.3;2.02;1.73;1.45;1.17;0.88;0.6
34.3;4.5;4.05;3.6;3.15;2.7;2.25;1.8;1.35;0.9;0.45
35.3;4.1;3.73;3.36;2.98;2.61;2.24;1.87;1.49;1.12;0.75
36.3;3.4;3.08;2.77;2.45;2.13;1.82;1.5;1.18;0.87;0.55
37.2;3.55;3.22;2.88;2.55;2.22;1.88;1.55;1.22;0.88;0.55
38.2;3.8;3.47;3.14;2.82;2.49;2.16;1.83;1.51;1.18;0.85
39.2;4.45;4.07;3.68;3.3;2.92;2.53;2.15;1.77;1.38;1
40.1;4.3;3.88;3.46;3.03;2.61;2.19;1.77;1.34;0.92;0.5
41.1;4.5;4.05;3.6;3.15;2.7;2.25;1.8;1.35;0.9;0.45
42.1;6.8;6.13;5.46;4.78;4.11;3.44;2.77;2.09;1.42;0.75
43;10.3;9.32;8.33;7.35;6.37;5.38;4.4;3.42;2.43;1.45
44;17.55;15.84;14.14;12.43;10.73;9.02;7.32;5.61;3.91;2.2
45;41.6;37.45;33.3;29.15;25;20.85;16.7;12.55;8.4;4.25
45.9;70.8;63.92;57.04;50.17;43.29;36.41;29.53;22.66;15.78;8.9
46.9;104.05;93.78;83.52;73.25;62.98;52.72;42.45;32.18;21.92;11.65
47.9;127.75;115.08;102.42;89.75;77.08;64.42;51.75;39.08;26.42;13.75
48.8;147.75;133.33;118.91;104.48;90.06;75.64;61.22;46.79;32.37;17.95
49.8;163.15;147.24;131.33;115.42;99.51;83.59;67.68;51.77;35.86;19.95
50.8;172.1;155.23;138.37;121.5;104.63;87.77;70.9;54.03;37.17;20.3
51.7;172.65;155.79;138.94;122.08;105.23;88.37;71.52;54.66;37.81;20.95
52.7;182.95;165.14;147.34;129.53;111.73;93.92;76.12;58.31;40.51;22.7
53.7;191.2;172.32;153.43;134.55;115.67;96.78;77.9;59.02;40.13;21.25
54.6;193.85;174.78;155.71;136.63;117.56;98.49;79.42;60.34;41.27;22.2
55.6;188.95;170.54;152.13;133.72;115.31;96.89;78.48;60.07;41.66;23.25
56.6;195.2;175.97;156.73;137.5;118.27;99.03;79.8;60.57;41.33;22.1
57.5;189.85;171.27;152.68;134.1;115.52;96.93;78.35;59.77;41.18;22.6
58.5;191.25;172.38;153.52;134.65;115.78;96.92;78.05;59.18;40.32;21.45
59.5;185;166.65;148.3;129.95;111.6;93.25;74.9;56.55;38.2;19.85
60.4;181.35;163.56;145.76;127.97;110.17;92.38;74.58;56.79;38.99;21.2
61.4;182.15;164.26;146.37;128.48;110.59;92.71;74.82;56.93;39.04;21.15
